"","bp","genome_feature","SNP_count","consistency_index","CountsACGT","Min.No.ChangesonTree","Protein","Function","minor.variant.fraction","dist.nearest.homoplasy","N.nearest.neighbour.has.homoplasy","N.nearest.neighbour.lacks.homoplasy","N.nearest.neighbour.intermediate","N.isolates.with.homoplasy","proportion.nearest.neighbour.has.homoplasy"
"514",514,"ORF1ab",108,0.33333333,"0:108:0:6876",3,"Nsp1","Suppresses host antiviral response",0.0154639175257732,6,95,3,0,98,0.969387755102041
"833",833,"ORF1ab",39,0.33333333,"0:39:0:6964",3,"Nsp2","Viral replication",0.00556904183921177,1,38,1,0,39,0.974358974358974
"884",884,"ORF1ab",30,0.33333333,"0:6975:0:30",3,"Nsp2","Viral replication",0.00428265524625268,9,26,2,0,28,0.928571428571429
"1059",1059,"ORF1ab",1362,0.125,"0:5615:0:1362",8,"Nsp2","Viral replication",0.195212842195786,17,1358,3,0,1361,0.997795738427627
"1076",1076,"ORF1ab",27,0.33333333,"0:6947:0:27",3,"Nsp2","Viral replication",0.00387152279896759,17,25,2,0,27,0.925925925925926
"1515",1515,"ORF1ab",47,0.5,"6957:0:47:0",2,"Nsp2","Viral replication",0.00671045117075957,1,46,1,0,47,0.978723404255319
"1570",1570,"ORF1ab",12,0.33333333,"0:12:0:6992",3,"Nsp2","Viral replication",0.00171330668189606,23,10,2,0,12,0.833333333333333
"1594",1594,"ORF1ab",22,0.33333333,"0:6981:0:22",3,"Nsp2","Viral replication",0.00314151078109382,24,21,1,0,22,0.954545454545455
"1820",1820,"ORF1ab",12,0.125,"12:0:6993:0",8,"Nsp2","Viral replication",0.00171306209850107,41,6,5,0,11,0.545454545454545
"1912",1912,"ORF1ab",17,0.125,"0:6987:0:17",8,"Nsp2","Viral replication",0.00242718446601942,1,12,5,0,17,0.705882352941177
"2113",2113,"ORF1ab",31,0.33333333,"0:6972:0:31",3,"Nsp2","Viral replication",0.00442667428245038,3,30,1,0,31,0.967741935483871
"2455",2455,"ORF1ab",11,0.5,"0:6908:0:11",2,"Nsp2","Viral replication",0.00158982511923688,10,10,1,0,11,0.909090909090909
"2558",2558,"ORF1ab",346,0.5,"0:6564:0:346",2,"Nsp2","Viral replication",0.0500723589001447,30,311,27,0,338,0.920118343195266
"3037",3037,"ORF1ab",0,0.18181818,"1:2801:0:4180",11,"Nsp3","Nsp3-Nsp4-Nsp6 complex involved in viral replication",0.401174448582068,40,2771,13,0,2784,0.995330459770115
"3096",3096,"ORF1ab",15,0.33333333,"0:6990:0:15",3,"Nsp3","Nsp3-Nsp4-Nsp6 complex involved in viral replication",0.00214132762312634,34,14,1,0,15,0.933333333333333
"3177",3177,"ORF1ab",0,0.4,"2:6932:0:67",5,"Nsp3","Nsp3-Nsp4-Nsp6 complex involved in viral replication",0.00957006141979717,1,65,2,0,67,0.970149253731343
"3253",3253,"ORF1ab",15,0.33333333,"0:6990:0:15",3,"Nsp3","Nsp3-Nsp4-Nsp6 complex involved in viral replication",0.00214132762312634,6,13,2,0,15,0.866666666666667
"3564",3564,"ORF1ab",39,0.04,"0:0:6956:39",25,"Nsp3","Nsp3-Nsp4-Nsp6 complex involved in viral replication",0.00557541100786276,25,17,22,0,39,0.435897435897436
"4050",4050,"ORF1ab",17,0.08333333,"6987:17:0:0",12,"Nsp3","Nsp3-Nsp4-Nsp6 complex involved in viral replication",0.00242718446601942,34,8,8,0,16,0.5
"4084",4084,"ORF1ab",11,0.2,"0:6992:0:11",5,"Nsp3","Nsp3-Nsp4-Nsp6 complex involved in viral replication",0.00157075539054691,29,7,4,0,11,0.636363636363636
"4255",4255,"ORF1ab",0,0.5,"3:0:6974:27",4,"Nsp3","Nsp3-Nsp4-Nsp6 complex involved in viral replication",0.00385494003426613,21,26,1,0,27,0.962962962962963
"4320",4320,"ORF1ab",0,0.66666667,"1:6974:0:24",3,"Nsp3","Nsp3-Nsp4-Nsp6 complex involved in viral replication",0.00342906129447064,44,24,0,0,24,1
"5784",5784,"ORF1ab",17,0.25,"0:6988:0:17",4,"Nsp3","Nsp3-Nsp4-Nsp6 complex involved in viral replication",0.00242683797287652,33,15,2,0,17,0.882352941176471
